Date,Province,Gender,Age group,Employment rate,Population,Unemployment rate
2020-01,British Columbia,Women+,55 years and over,31.2,844.2,5.7
2020-01,Manitoba,Men+,15 to 24 years,60.6,88.8,10.2
2020-01,Manitoba,Men+,15 to 64 years,79.3,429.2,5.9
2020-01,Manitoba,Men+,15 years and over,68.8,524.0,5.7
2020-01,Manitoba,Men+,25 to 54 years,87.6,257.1,5.3
2020-01,Manitoba,Men+,25 years and over,70.5,435.3,4.8
2020-01,Manitoba,Men+,55 years and over,45.8,178.2,3.3
2020-01,Manitoba,Total - Gender,15 to 24 years,62.0,168.9,9.0
2020-01,Manitoba,Total - Gender,15 to 64 years,75.7,844.6,5.3
2020-01,Manitoba,Total - Gender,15 years and over,63.8,1050.1,5.2
2020-01,Manitoba,Total - Gender,25 to 54 years,83.7,508.3,4.8
2020-01,Manitoba,Total - Gender,25 years and over,64.1,881.3,4.4
2020-01,Manitoba,Total - Gender,55 years and over,37.4,373.0,3.4
2020-01,Manitoba,Women+,15 to 24 years,63.5,80.1,7.6
2020-01,Manitoba,Women+,15 to 64 years,72.0,415.5,4.8
2020-01,Manitoba,Women+,15 years and over,58.7,526.1,4.6
2020-01,Manitoba,Women+,25 to 54 years,79.7,251.3,4.2
2020-01,Manitoba,Women+,25 years and over,57.9,446.0,4.0
2020-01,Manitoba,Women+,55 years and over,29.7,194.7,3.3
2020-01,New Brunswick,Men+,15 to 24 years,59.3,40.8,13.3
2020-01,New Brunswick,Men+,15 to 64 years,73.4,239.3,9.8
2020-01,New Brunswick,Men+,15 years and over,59.2,315.0,9.7
2020-01,New Brunswick,Men+,25 to 54 years,82.9,137.7,8.5
2020-01,New Brunswick,Men+,25 years and over,59.2,274.1,9.2
2020-01,New Brunswick,Men+,55 years and over,35.1,136.4,10.8
2020-01,New Brunswick,Total - Gender,15 to 24 years,59.7,80.4,10.1
2020-01,New Brunswick,Total - Gender,15 to 64 years,72.0,484.2,7.8
2020-01,New Brunswick,Total - Gender,15 years and over,56.8,645.4,7.8
2020-01,New Brunswick,Total - Gender,25 to 54 years,81.5,280.2,6.9
2020-01,New Brunswick,Total - Gender,25 years and over,56.4,565.0,7.4
2020-01,New Brunswick,Total - Gender,55 years and over,31.6,284.8,8.5
2020-01,New Brunswick,Women+,15 to 24 years,60.1,39.6,6.7
2020-01,New Brunswick,Women+,15 to 64 years,70.5,244.9,5.8
2020-01,New Brunswick,Women+,15 years and over,54.5,330.5,5.7
2020-01,New Brunswick,Women+,25 to 54 years,80.1,142.5,5.3
2020-01,New Brunswick,Women+,25 years and over,53.7,290.9,5.5
2020-01,New Brunswick,Women+,55 years and over,28.4,148.4,5.8
2020-01,Newfoundland and Labrador,Men+,15 to 24 years,47.9,28.4,21.4
2020-01,Newfoundland and Labrador,Men+,15 to 64 years,65.8,167.7,14.1
2020-01,Newfoundland and Labrador,Men+,15 years and over,52.9,221.1,15.2
2020-01,Newfoundland and Labrador,Men+,25 to 54 years,76.6,96.9,11.8
2020-01,Newfoundland and Labrador,Men+,25 years and over,53.7,192.7,14.3
2020-01,Newfoundland and Labrador,Men+,55 years and over,30.4,95.9,20.0
2020-01,Newfoundland and Labrador,Total - Gender,15 to 24 years,51.2,54.7,16.4
2020-01,Newfoundland and Labrador,Total - Gender,15 to 64 years,65.2,336.9,11.2
2020-01,Newfoundland and Labrador,Total - Gender,15 years and over,51.2,449.5,11.9
2020-01,Newfoundland and Labrador,Total - Gender,25 to 54 years,76.5,196.1,9.4
2020-01,Newfoundland and Labrador,Total - Gender,25 years and over,51.3,394.8,11.3
2020-01,Newfoundland and Labrador,Total - Gender,55 years and over,26.3,198.6,16.3
2020-01,Newfoundland and Labrador,Women+,15 to 24 years,54.8,26.3,10.6
2020-01,Newfoundland and Labrador,Women+,15 to 64 years,64.5,169.1,8.2
2020-01,Newfoundland and Labrador,Women+,15 years and over,49.6,228.3,8.3
2020-01,Newfoundland and Labrador,Women+,25 to 54 years,76.4,99.3,6.9
2020-01,Newfoundland and Labrador,Women+,25 years and over,49.0,202.0,7.9
2020-01,Newfoundland and Labrador,Women+,55 years and over,22.4,102.8,11.2
2020-01,Nova Scotia,Men+,15 to 24 years,59.2,56.4,17.1
2020-01,Nova Scotia,Men+,15 to 64 years,72.0,304.9,9.6
2020-01,Nova Scotia,Men+,15 years and over,59.1,397.2,9.4
2020-01,Nova Scotia,Men+,25 to 54 years,81.1,173.2,8.2
2020-01,Nova Scotia,Men+,25 years and over,59.1,340.7,7.9
2020-01,Nova Scotia,Men+,55 years and over,36.2,167.5,7.2
2020-01,Nova Scotia,Total - Gender,15 to 24 years,62.6,109.5,13.3
2020-01,Nova Scotia,Total - Gender,15 to 64 years,71.7,618.9,8.1
2020-01,Nova Scotia,Total - Gender,15 years and over,57.3,817.0,8.1
2020-01,Nova Scotia,Total - Gender,25 to 54 years,81.0,355.4,7.2
2020-01,Nova Scotia,Total - Gender,25 years and over,56.5,707.5,7.1
2020-01,Nova Scotia,Total - Gender,55 years and over,31.7,352.1,6.9
2020-01,Nova Scotia,Women+,15 to 24 years,66.1,53.1,9.0
2020-01,Nova Scotia,Women+,15 to 64 years,71.5,313.9,6.6
2020-01,Nova Scotia,Women+,15 years and over,55.6,419.9,6.8
2020-01,Nova Scotia,Women+,25 to 54 years,81.0,182.2,6.3
2020-01,Nova Scotia,Women+,25 years and over,54.1,366.8,6.4
2020-01,Nova Scotia,Women+,55 years and over,27.6,184.6,6.4
2020-01,Ontario,Men+,15 to 24 years,52.9,958.8,9.3
2020-01,Ontario,Men+,15 to 64 years,76.6,4853.9,5.4
2020-01,Ontario,Men+,15 years and over,66.0,5981.0,5.0
2020-01,Ontario,Men+,25 to 54 years,86.7,2907.4,4.5
2020-01,Ontario,Men+,25 years and over,68.6,5022.2,4.4
2020-01,Ontario,Men+,55 years and over,43.6,2114.9,4.0
2020-01,Ontario,Total - Gender,15 to 24 years,54.5,1846.7,9.8
2020-01,Ontario,Total - Gender,15 to 64 years,73.5,9710.3,5.4
2020-01,Ontario,Total - Gender,15 years and over,61.8,12166.5,5.2
2020-01,Ontario,Total - Gender,25 to 54 years,82.3,5854.7,4.7
2020-01,Ontario,Total - Gender,25 years and over,63.1,10319.9,4.4
2020-01,Ontario,Total - Gender,55 years and over,37.8,4465.2,3.8
2020-01,Ontario,Women+,15 to 24 years,56.3,887.9,10.2
2020-01,Ontario,Women+,15 to 64 years,70.5,4856.4,5.5
2020-01,Ontario,Women+,15 years and over,57.7,6185.6,5.4
2020-01,Ontario,Women+,25 to 54 years,78.0,2947.3,4.9
2020-01,Ontario,Women+,25 years and over,57.9,5297.6,4.5
2020-01,Ontario,Women+,55 years and over,32.6,2350.3,3.6
2020-01,Prince Edward Island,Men+,15 to 24 years,68.0,10.0,6.8
2020-01,Prince Edward Island,Men+,15 to 64 years,75.3,49.3,8.4
2020-01,Prince Edward Island,Men+,15 years and over,64.3,63.1,8.4
2020-01,Prince Edward Island,Men+,25 to 54 years,83.2,28.0,7.2
2020-01,Prince Edward Island,Men+,25 years and over,63.5,53.2,8.4
2020-01,Prince Edward Island,Men+,55 years and over,41.8,25.1,11.0
2020-01,Prince Edward Island,Total - Gender,15 to 24 years,68.0,19.7,8.2
2020-01,Prince Edward Island,Total - Gender,15 to 64 years,75.6,100.4,7.4
2020-01,Prince Edward Island,Total - Gender,15 years and over,62.2,130.4,7.3
2020-01,Prince Edward Island,Total - Gender,25 to 54 years,82.6,57.5,6.1
2020-01,Prince Edward Island,Total - Gender,25 years and over,61.2,110.7,7.0
2020-01,Prince Edward Island,Total - Gender,55 years and over,38.0,53.2,9.0
2020-01,Prince Edward Island,Women+,15 to 24 years,68.0,9.7,9.6
2020-01,Prince Edward Island,Women+,15 to 64 years,75.8,51.2,6.5
2020-01,Prince Edward Island,Women+,15 years and over,60.3,67.2,6.3
2020-01,Prince Edward Island,Women+,25 to 54 years,82.3,29.4,5.1
2020-01,Prince Edward Island,Women+,25 years and over,59.0,57.5,5.6
2020-01,Prince Edward Island,Women+,55 years and over,34.5,28.1,6.7
2020-01,Quebec,Men+,15 to 24 years,64.7,465.1,8.6
2020-01,Quebec,Men+,15 to 64 years,78.4,2744.1,5.2
2020-01,Quebec,Men+,15 years and over,65.0,3479.5,5.1
2020-01,Quebec,Men+,25 to 54 years,86.7,1660.2,4.3
2020-01,Quebec,Men+,25 years and over,65.1,3014.5,4.6
2020-01,Quebec,Men+,55 years and over,38.5,1354.3,5.2
2020-01,Quebec,Total - Gender,15 to 24 years,65.8,910.1,7.6
2020-01,Quebec,Total - Gender,15 to 64 years,76.6,5423.0,4.8
2020-01,Quebec,Total - Gender,15 years and over,61.8,6998.0,4.8
2020-01,Quebec,Total - Gender,25 to 54 years,85.3,3274.4,4.1
2020-01,Quebec,Total - Gender,25 years and over,61.2,6087.9,4.3
2020-01,Quebec,Total - Gender,55 years and over,33.2,2813.4,4.7
2020-01,Quebec,Women+,15 to 24 years,67.1,445.1,6.5
2020-01,Quebec,Women+,15 to 64 years,74.7,2678.9,4.4
2020-01,Quebec,Women+,15 years and over,58.7,3518.5,4.3
2020-01,Quebec,Women+,25 to 54 years,83.8,1614.3,4.0
2020-01,Quebec,Women+,25 years and over,57.5,3073.4,4.0
2020-01,Quebec,Women+,55 years and over,28.3,1459.2,3.9
2020-01,Saskatchewan,Men+,15 to 24 years,56.7,68.4,15.1
2020-01,Saskatchewan,Men+,15 to 64 years,78.2,361.4,6.9
2020-01,Saskatchewan,Men+,15 years and over,69.0,443.9,6.4
2020-01,Saskatchewan,Men+,25 to 54 years,86.9,219.2,5.5
2020-01,Saskatchewan,Men+,25 years and over,71.3,375.5,5.1
2020-01,Saskatchewan,Men+,55 years and over,49.4,156.3,4.1
2020-01,Saskatchewan,Total - Gender,15 to 24 years,57.1,131.7,13.3
2020-01,Saskatchewan,Total - Gender,15 to 64 years,75.7,709.6,6.2
2020-01,Saskatchewan,Total - Gender,15 years and over,64.9,884.9,5.9
2020-01,Saskatchewan,Total - Gender,25 to 54 years,84.5,431.2,5.1
2020-01,Saskatchewan,Total - Gender,25 years and over,66.2,753.3,4.8
2020-01,Saskatchewan,Total - Gender,55 years and over,41.8,322.1,3.8
2020-01,Saskatchewan,Women+,15 to 24 years,57.5,63.3,11.2
2020-01,Saskatchewan,Women+,15 to 64 years,73.2,348.2,5.4
2020-01,Saskatchewan,Women+,15 years and over,60.6,441.1,5.4
2020-01,Saskatchewan,Women+,25 to 54 years,81.9,212.0,4.7
2020-01,Saskatchewan,Women+,25 years and over,61.2,377.8,4.4
2020-01,Saskatchewan,Women+,55 years and over,34.7,165.8,3.4
2020-02,Alberta,Men+,15 to 24 years,54.4,266.6,17.9
2020-02,Alberta,Men+,15 to 64 years,78.7,1478.4,7.7
2020-02,Alberta,Men+,15 years and over,70.4,1748.1,7.7
2020-02,Alberta,Men+,25 to 54 years,87.7,938.8,5.8
2020-02,Alberta,Men+,25 years and over,73.3,1481.6,6.2
2020-02,Alberta,Men+,55 years and over,48.4,542.7,7.5
2020-02,Alberta,Total - Gender,15 to 24 years,57.3,519.5,13.8
2020-02,Alberta,Total - Gender,15 to 64 years,75.1,2919.5,7.4
2020-02,Alberta,Total - Gender,15 years and over,65.8,3486.3,7.4
2020-02,Alberta,Total - Gender,25 to 54 years,82.9,1856.9,6.1
2020-02,Alberta,Total - Gender,25 years and over,67.3,2966.9,6.4
2020-02,Alberta,Total - Gender,55 years and over,41.2,1109.9,7.4
2020-02,Alberta,Women+,15 to 24 years,60.5,252.9,9.5
2020-02,Alberta,Women+,15 to 64 years,71.5,1441.1,7.1
2020-02,Alberta,Women+,15 years and over,61.2,1738.2,7.0
2020-02,Alberta,Women+,25 to 54 years,78.1,918.1,6.4
2020-02,Alberta,Women+,25 years and over,61.3,1485.3,6.6
2020-02,Alberta,Women+,55 years and over,34.3,567.2,7.4
2020-02,British Columbia,Men+,15 to 24 years,58.6,313.3,13.3
2020-02,British Columbia,Men+,15 to 64 years,78.5,1681.0,5.9
2020-02,British Columbia,Men+,15 years and over,66.6,2111.9,5.8
2020-02,British Columbia,Men+,25 to 54 years,87.3,1023.2,4.3
2020-02,British Columbia,Men+,25 years and over,68.0,1798.6,4.6
2020-02,British Columbia,Men+,55 years and over,42.5,775.4,5.3
2020-02,British Columbia,Total - Gender,15 to 24 years,59.1,611.5,10.2
2020-02,British Columbia,Total - Gender,15 to 64 years,74.9,3376.4,5.5
2020-02,British Columbia,Total - Gender,15 years and over,62.4,4290.2,5.4
2020-02,British Columbia,Total - Gender,25 to 54 years,83.7,2057.8,4.2
2020-02,British Columbia,Total - Gender,25 years and over,63.0,3678.7,4.6
2020-02,British Columbia,Total - Gender,55 years and over,36.7,1620.9,5.7
2020-02,British Columbia,Women+,15 to 24 years,59.5,298.2,6.7
2020-02,British Columbia,Women+,15 to 64 years,71.4,1695.4,5.1
2020-02,British Columbia,Women+,15 years and over,58.4,2178.3,5.0
2020-02,British Columbia,Women+,25 to 54 years,80.2,1034.6,4.2
2020-02,British Columbia,Women+,25 years and over,58.2,1880.1,4.7
2020-02,British Columbia,Women+,55 years and over,31.3,845.5,6.2
2020-02,Manitoba,Men+,15 to 24 years,59.3,88.8,11.1
2020-02,Manitoba,Men+,15 to 64 years,79.3,429.3,5.8
2020-02,Manitoba,Men+,15 years and over,68.6,524.4,5.8
2020-02,Manitoba,Men+,25 to 54 years,87.7,257.2,5.2
2020-02,Manitoba,Men+,25 years and over,70.5,435.6,4.8
2020-02,Manitoba,Men+,55 years and over,45.5,178.5,3.8
2020-02,Manitoba,Total - Gender,15 to 24 years,61.7,168.8,9.9
2020-02,Manitoba,Total - Gender,15 to 64 years,76.0,844.7,5.4
2020-02,Manitoba,Total - Gender,15 years and over,63.7,1050.8,5.3
2020-02,Manitoba,Total - Gender,25 to 54 years,83.9,508.4,4.6
2020-02,Manitoba,Total - Gender,25 years and over,64.1,882.0,4.4
2020-02,Manitoba,Total - Gender,55 years and over,37.2,373.6,3.9
2020-02,Manitoba,Women+,15 to 24 years,64.2,80.1,8.5
2020-02,Manitoba,Women+,15 to 64 years,72.6,415.4,4.8
2020-02,Manitoba,Women+,15 years and over,58.9,526.4,4.8
2020-02,Manitoba,Women+,25 to 54 years,80.0,251.2,4.0
2020-02,Manitoba,Women+,25 years and over,58.0,446.3,4.0
2020-02,Manitoba,Women+,55 years and over,29.6,195.1,4.0
2020-02,New Brunswick,Men+,15 to 24 years,58.8,40.8,11.8
2020-02,New Brunswick,Men+,15 to 64 years,73.3,239.4,8.5
2020-02,New Brunswick,Men+,15 years and over,59.3,315.2,8.6
2020-02,New Brunswick,Men+,25 to 54 years,82.6,137.7,7.5
2020-02,New Brunswick,Men+,25 years and over,59.4,274.4,8.1
2020-02,New Brunswick,Men+,55 years and over,35.9,136.7,9.7
2020-02,New Brunswick,Total - Gender,15 to 24 years,59.5,80.4,10.6
2020-02,New Brunswick,Total - Gender,15 to 64 years,72.1,484.2,7.4
2020-02,New Brunswick,Total - Gender,15 years and over,56.8,645.9,7.4
2020-02,New Brunswick,Total - Gender,25 to 54 years,81.4,280.2,6.4
2020-02,New Brunswick,Total - Gender,25 years and over,56.4,565.5,6.9
2020-02,New Brunswick,Total - Gender,55 years and over,31.9,285.3,8.3
2020-02,New Brunswick,Women+,15 to 24 years,60.1,39.6,9.5
2020-02,New Brunswick,Women+,15 to 64 years,70.8,244.9,6.2
2020-02,New Brunswick,Women+,15 years and over,54.5,330.7,6.2
2020-02,New Brunswick,Women+,25 to 54 years,80.3,142.5,5.3
2020-02,New Brunswick,Women+,25 years and over,53.7,291.1,5.6
2020-02,New Brunswick,Women+,55 years and over,28.3,148.6,6.7
2020-02,Newfoundland and Labrador,Men+,15 to 24 years,46.5,28.4,23.7
2020-02,Newfoundland and Labrador,Men+,15 to 64 years,65.3,167.6,14.8
2020-02,Newfoundland and Labrador,Men+,15 years and over,52.0,221.1,16.3
2020-02,Newfoundland and Labrador,Men+,25 to 54 years,76.4,96.7,12.0
2020-02,Newfoundland and Labrador,Men+,25 years and over,52.8,192.8,15.2
2020-02,Newfoundland and Labrador,Men+,55 years and over,29.1,96.0,22.5
2020-02,Newfoundland and Labrador,Total - Gender,15 to 24 years,50.5,54.7,19.1
2020-02,Newfoundland and Labrador,Total - Gender,15 to 64 years,65.1,336.6,11.6
2020-02,Newfoundland and Labrador,Total - Gender,15 years and over,50.7,449.5,12.6
2020-02,Newfoundland and Labrador,Total - Gender,25 to 54 years,76.7,195.8,9.1
2020-02,Newfoundland and Labrador,Total - Gender,25 years and over,50.7,394.8,11.5
2020-02,Newfoundland and Labrador,Total - Gender,55 years and over,25.2,199.0,18.1
2020-02,Newfoundland and Labrador,Women+,15 to 24 years,54.8,26.3,14.3
2020-02,Newfoundland and Labrador,Women+,15 to 64 years,64.9,169.0,8.0
2020-02,Newfoundland and Labrador,Women+,15 years and over,49.4,228.4,8.4
2020-02,Newfoundland and Labrador,Women+,25 to 54 years,76.9,99.1,6.0
2020-02,Newfoundland and Labrador,Women+,25 years and over,48.7,202.1,7.4
2020-02,Newfoundland and Labrador,Women+,55 years and over,21.7,103.0,11.9
2020-02,Nova Scotia,Men+,15 to 24 years,61.8,56.5,15.7
2020-02,Nova Scotia,Men+,15 to 64 years,71.9,305.2,10.2
2020-02,Nova Scotia,Men+,15 years and over,59.3,397.7,10.0
2020-02,Nova Scotia,Men+,25 to 54 years,81.7,173.4,9.1
2020-02,Nova Scotia,Men+,25 years and over,58.9,341.2,9.0
2020-02,Nova Scotia,Men+,55 years and over,35.3,167.8,8.6
2020-02,Nova Scotia,Total - Gender,15 to 24 years,62.7,109.6,14.7
2020-02,Nova Scotia,Total - Gender,15 to 64 years,71.7,619.2,8.7
2020-02,Nova Scotia,Total - Gender,15 years and over,57.5,817.9,8.6
2020-02,Nova Scotia,Total - Gender,25 to 54 years,81.4,355.6,7.5
2020-02,Nova Scotia,Total - Gender,25 years and over,56.6,708.3,7.5
2020-02,Nova Scotia,Total - Gender,55 years and over,31.7,352.6,7.3
2020-02,Nova Scotia,Women+,15 to 24 years,63.7,53.1,13.5
2020-02,Nova Scotia,Women+,15 to 64 years,71.6,314.0,7.2
2020-02,Nova Scotia,Women+,15 years and over,55.7,420.2,7.1
2020-02,Nova Scotia,Women+,25 to 54 years,81.1,182.3,5.9
2020-02,Nova Scotia,Women+,25 years and over,54.6,367.1,5.9
2020-02,Nova Scotia,Women+,55 years and over,28.3,184.8,5.8
2020-02,Ontario,Men+,15 to 24 years,53.1,959.3,12.5
2020-02,Ontario,Men+,15 to 64 years,76.8,4860.3,5.6
2020-02,Ontario,Men+,15 years and over,66.1,5990.3,5.7
2020-02,Ontario,Men+,25 to 54 years,86.8,2912.1,4.7
2020-02,Ontario,Men+,25 years and over,68.6,5031.1,4.6
2020-02,Ontario,Men+,55 years and over,43.6,2119.0,4.1
2020-02,Ontario,Total - Gender,15 to 24 years,54.5,1847.9,11.7
2020-02,Ontario,Total - Gender,15 to 64 years,73.3,9721.7,5.7
2020-02,Ontario,Total - Gender,15 years and over,61.6,12184.3,5.6
2020-02,Ontario,Total - Gender,25 to 54 years,82.0,5862.7,4.8
2020-02,Ontario,Total - Gender,25 years and over,62.8,10336.5,4.6
2020-02,Ontario,Total - Gender,55 years and over,37.7,4473.8,4.2
2020-02,Ontario,Women+,15 to 24 years,55.9,888.6,10.9
2020-02,Ontario,Women+,15 to 64 years,69.8,4861.4,5.7
2020-02,Ontario,Women+,15 years and over,57.1,6194.0,5.6
2020-02,Ontario,Women+,25 to 54 years,77.3,2950.6,4.8
2020-02,Ontario,Women+,25 years and over,57.3,5305.4,4.7
2020-02,Ontario,Women+,55 years and over,32.3,2354.8,4.3
2020-02,Prince Edward Island,Men+,15 to 24 years,67.3,10.1,9.3
2020-02,Prince Edward Island,Men+,15 to 64 years,74.9,49.4,9.3
2020-02,Prince Edward Island,Men+,15 years and over,63.9,63.4,9.0
2020-02,Prince Edward Island,Men+,25 to 54 years,83.3,28.1,7.9
2020-02,Prince Edward Island,Men+,25 years and over,63.2,53.3,8.9
2020-02,Prince Edward Island,Men+,55 years and over,40.9,25.2,11.2
2020-02,Prince Edward Island,Total - Gender,15 to 24 years,67.2,19.8,10.1
2020-02,Prince Edward Island,Total - Gender,15 to 64 years,75.0,100.8,8.3
2020-02,Prince Edward Island,Total - Gender,15 years and over,61.4,130.8,8.2
2020-02,Prince Edward Island,Total - Gender,25 to 54 years,81.9,57.6,7.1
2020-02,Prince Edward Island,Total - Gender,25 years and over,60.4,110.9,7.9
2020-02,Prince Edward Island,Total - Gender,55 years and over,37.0,53.3,9.6
2020-02,Prince Edward Island,Women+,15 to 24 years,67.0,9.7,11.0
2020-02,Prince Edward Island,Women+,15 to 64 years,75.0,51.3,7.2
2020-02,Prince Edward Island,Women+,15 years and over,59.1,67.4,7.4
2020-02,Prince Edward Island,Women+,25 to 54 years,81.0,29.5,5.9
2020-02,Prince Edward Island,Women+,25 years and over,57.7,57.7,6.7
2020-02,Prince Edward Island,Women+,55 years and over,33.3,28.2,7.8
2020-02,Quebec,Men+,15 to 24 years,66.5,465.5,7.9
2020-02,Quebec,Men+,15 to 64 years,78.9,2745.9,4.8
2020-02,Quebec,Men+,15 years and over,65.4,3483.1,4.8
2020-02,Quebec,Men+,25 to 54 years,87.3,1661.3,3.9
2020-02,Quebec,Men+,25 years and over,65.2,3017.6,4.3
2020-02,Quebec,Men+,55 years and over,38.0,1356.3,5.3
2020-02,Quebec,Total - Gender,15 to 24 years,67.0,910.8,6.4
2020-02,Quebec,Total - Gender,15 to 64 years,76.9,5425.7,4.5
2020-02,Quebec,Total - Gender,15 years and over,62.0,7004.3,4.5
2020-02,Quebec,Total - Gender,25 to 54 years,85.4,3276.2,3.9
2020-02,Quebec,Total - Gender,25 years and over,61.2,6093.5,4.2
2020-02,Quebec,Total - Gender,55 years and over,33.1,2817.4,4.9
2020-02,Quebec,Women+,15 to 24 years,67.6,445.3,4.8
2020-02,Quebec,Women+,15 to 64 years,74.8,2679.8,4.2
2020-02,Quebec,Women+,15 years and over,58.6,3521.2,4.2
2020-02,Quebec,Women+,25 to 54 years,83.3,1614.9,4.0
2020-02,Quebec,Women+,25 years and over,57.3,3075.9,4.1
2020-02,Quebec,Women+,55 years and over,28.6,1461.0,4.3
2020-02,Saskatchewan,Men+,15 to 24 years,59.2,68.4,14.7
2020-02,Saskatchewan,Men+,15 to 64 years,77.8,361.2,7.6
2020-02,Saskatchewan,Men+,15 years and over,69.0,443.9,7.3
2020-02,Saskatchewan,Men+,25 to 54 years,86.5,219.1,6.3
2020-02,Saskatchewan,Men+,25 years and over,70.7,375.6,6.0
2020-02,Saskatchewan,Men+,55 years and over,48.6,156.5,5.5
2020-02,Saskatchewan,Total - Gender,15 to 24 years,58.0,131.7,13.9
2020-02,Saskatchewan,Total - Gender,15 to 64 years,75.4,709.3,6.7
2020-02,Saskatchewan,Total - Gender,15 years and over,64.7,885.1,6.6
2020-02,Saskatchewan,Total - Gender,25 to 54 years,84.2,431.0,5.5
2020-02,Saskatchewan,Total - Gender,25 years and over,65.9,753.5,5.4
2020-02,Saskatchewan,Total - Gender,55 years and over,41.5,322.5,4.8
2020-02,Saskatchewan,Women+,15 to 24 years,56.7,63.3,12.7
2020-02,Saskatchewan,Women+,15 to 64 years,72.9,348.1,5.7
2020-02,Saskatchewan,Women+,15 years and over,60.5,441.2,5.8
2020-02,Saskatchewan,Women+,25 to 54 years,81.9,211.9,4.8
2020-02,Saskatchewan,Women+,25 years and over,61.2,377.9,4.6
2020-02,Saskatchewan,Women+,55 years and over,34.8,166.0,4.0
2020-03,Alberta,Men+,15 to 24 years,47.2,266.8,20.7
2020-03,Alberta,Men+,15 to 64 years,76.0,1479.5,8.9
2020-03,Alberta,Men+,15 years and over,67.6,1750.6,8.2
2020-03,Alberta,Men+,25 to 54 years,84.8,939.4,6.5
2020-03,Alberta,Men+,25 years and over,71.3,1483.8,6.5
2020-03,Alberta,Men+,55 years and over,48.0,544.3,6.5
2020-03,Alberta,Total - Gender,15 to 24 years,46.1,519.9,21.9
2020-03,Alberta,Total - Gender,15 to 64 years,70.9,2921.8,9.4
2020-03,Alberta,Total - Gender,15 years and over,62.1,3491.3,8.8
2020-03,Alberta,Total - Gender,25 to 54 years,80.2,1858.2,7.0
2020-03,Alberta,Total - Gender,25 years and over,64.9,2971.3,6.9
2020-03,Alberta,Total - Gender,55 years and over,39.2,1113.1,6.4
2020-03,Alberta,Women+,15 to 24 years,44.9,253.1,23.1
2020-03,Alberta,Women+,15 to 64 years,65.6,1442.3,9.9
2020-03,Alberta,Women+,15 years and over,56.5,1740.7,9.5
2020-03,Alberta,Women+,25 to 54 years,75.5,918.8,7.6
2020-03,Alberta,Women+,25 years and over,58.4,1487.6,7.4
2020-03,Alberta,Women+,55 years and over,30.8,568.8,6.4
2020-03,British Columbia,Men+,15 to 24 years,48.8,313.3,17.0
2020-03,British Columbia,Men+,15 to 64 years,74.9,1683.7,7.1
2020-03,British Columbia,Men+,15 years and over,63.2,2116.0,6.9
2020-03,British Columbia,Men+,25 to 54 years,85.4,1025.7,5.3
2020-03,British Columbia,Men+,25 years and over,65.7,1802.7,5.4
